Company,Drug_Name,FDA_Scientific_Name,Date,Event_Type,Sentiment_Score,Confidence_Score,Sources,Significance_Score,Title,Summary,Source_Type,Search_Query,Notes
Sun Pharma,Unknown Drug,Unknown Drug,2015-09-24,Bad,0.3333333333333333,0.0625,https://news.google.com/rss/articles/CBMitgFBVV95cUxQZHAzSl9EMHExSjllTHVTVlByUk11N2Y2N2IwV3JibGVINXBhZU9vV0o5ZEEtMmNpdnpJYkZOb19MTVMxWERRbkt1N19PeGRXdmR1RVQ2UUFkMFAzeHBpRFVxbWRGMjVwTzVyMGZfWExILTUtUVgwajh3emdKVm1ZclhlZXlHbXRMOHNnb0YyREpjSnBIV2l2cHlhMTZ2cUV6emRwQWVPclpnczJvWVJsVDVtOWRwdw?oc=5,0.4981122615241233,"Sun Pharma recalls more than 216,000 bottles after label leaches chemical - Fierce Pharma","<a href=""https://news.google.com/rss/articles/CBMitgFBVV95cUxQZHAzSl9EMHExSjllTHVTVlByUk11N2Y2N2IwV3JibGVINXBhZU9vV0o5ZEEtMmNpdnpJYkZOb19MTVMxWERRbkt1N19PeGRXdmR1RVQ2UUFkMFAzeHBpRFVxbWRGMjVwTzVyMGZfWExILTUtUVgwajh3emdKVm1ZclhlZXlHbXRMOHNnb0YyREpjSnBIV2l2cHlhMTZ2cUV6emRwQWVPclpnczJvWVJsVDVtOWRwdw?oc=5"" target=""_blank"">Sun Pharma recalls more than 216,000 bottles after label leaches chemical</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Fierce Pharma</font>",Google News Enhanced,"""Sun Pharma"" FDA warning letter",
Sun Pharma,Unknown Drug,Unknown Drug,2015-12-21,Bad,0.0,0.0625,https://news.google.com/rss/articles/CBMisAFBVV95cUxPX2FIWjBfWG95TnFndFV2T1BFY2xrcHhONnhEaGFIS2Mzd0o2akYyMGk5TzRPREQyczY0TzFKaURPSmVwN1hxZzBraWEzaGw4dXBWU2ZWRUtmQWdxOC1mbU9GRk5ieHVvbmNxbEZMWjBYb2Npek9xVDN1Q0ZsMVBibkNMTWFIY2pqYTdiemZUaXUyVmc0cHFBSGRuYmhxbWxYVUhMRjlxVE9YWExLdzVhRtIBtgFBVV95cUxQbXl1TXBHRXZZZVZGel9KeVdMVGlzLTRyTDRFRmhXUk5TZ1o3S2lpTmNjbnpvckF1cEdtYnBBa2RrNGtYUW80X09YNEhGdlZ1NURjRTk0dWppRnZFUElTckhicF9SSVVQQjRvcnFXdUtIVGc0NFlIQTRfUnZUTnRoM2U4b1Q4LXBaczVJQmY2WEZnbHdwd3lWNF9aOVpUYWNrVGJ0SEVwdzJnckkxbERuNXdmSmIxUQ?oc=5,0.525,Sun Pharma shares plunge on USFDA warning letter to its Halol plant - Firstpost,"<a href=""https://news.google.com/rss/articles/CBMisAFBVV95cUxPX2FIWjBfWG95TnFndFV2T1BFY2xrcHhONnhEaGFIS2Mzd0o2akYyMGk5TzRPREQyczY0TzFKaURPSmVwN1hxZzBraWEzaGw4dXBWU2ZWRUtmQWdxOC1mbU9GRk5ieHVvbmNxbEZMWjBYb2Npek9xVDN1Q0ZsMVBibkNMTWFIY2pqYTdiemZUaXUyVmc0cHFBSGRuYmhxbWxYVUhMRjlxVE9YWExLdzVhRtIBtgFBVV95cUxQbXl1TXBHRXZZZVZGel9KeVdMVGlzLTRyTDRFRmhXUk5TZ1o3S2lpTmNjbnpvckF1cEdtYnBBa2RrNGtYUW80X09YNEhGdlZ1NURjRTk0dWppRnZFUElTckhicF9SSVVQQjRvcnFXdUtIVGc0NFlIQTRfUnZUTnRoM2U4b1Q4LXBaczVJQmY2WEZnbHdwd3lWNF9aOVpUYWNrVGJ0SEVwdzJnckkxbERuNXdmSmIxUQ?oc=5"" target=""_blank"">Sun Pharma shares plunge on USFDA warning letter to its Halol plant</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Firstpost</font>",Google News Enhanced,"""Sun Pharma"" FDA warning letter",
Sun Pharma,Unknown Drug,Unknown Drug,2016-03-10,Bad,0.1333333333333333,0.0625,https://news.google.com/rss/articles/CBMi8AFBVV95cUxONTl6VWU0bWJoZXJzVHBvbjBBTkRDa2pSRUJNaENsYnRwLUJkb0o4VHd3ZDBJMnE0bjF6cjhTdlZ1dHgtbUJPWmNLS1BkbTdrSVdPcEpjejJoSHU1dEpObnQ5Vi1KdVJ3LVJ2anBlRWRGZ3k1cmhucGRpdzhsZFBsb3hsMmMyVTlCWDZaYWFHMFBzZ1psZG1ZZFhYMkJhYXVLODBXM3dETHJvQjFFUi1Sd0pEY3VXdmR5X1dfVF9IUGROTWwxSG9QTGhnR1ctQ3ZyOXV2VUdEWk5IYk5zckluaUFGT0dPNFhXY01ibWpoSTI?oc=5,0.4972307564103261,Sun Pharma recalls 3.8 lakh cartons of osteoporosis drug in US - The Economic Times,"<a href=""https://news.google.com/rss/articles/CBMi8AFBVV95cUxONTl6VWU0bWJoZXJzVHBvbjBBTkRDa2pSRUJNaENsYnRwLUJkb0o4VHd3ZDBJMnE0bjF6cjhTdlZ1dHgtbUJPWmNLS1BkbTdrSVdPcEpjejJoSHU1dEpObnQ5Vi1KdVJ3LVJ2anBlRWRGZ3k1cmhucGRpdzhsZFBsb3hsMmMyVTlCWDZaYWFHMFBzZ1psZG1ZZFhYMkJhYXVLODBXM3dETHJvQjFFUi1Sd0pEY3VXdmR5X1dfVF9IUGROTWwxSG9QTGhnR1ctQ3ZyOXV2VUdEWk5IYk5zckluaUFGT0dPNFhXY01ibWpoSTI?oc=5"" target=""_blank"">Sun Pharma recalls 3.8 lakh cartons of osteoporosis drug in US</a>&nbsp;&nbsp;<font color=""#6f6f6f"">The Economic Times</font>",Google News Enhanced,"""Sun Pharma"" recall",
Sun Pharma,Unknown Drug,Unknown Drug,2016-07-28,Bad,0.0,0.0625,https://news.google.com/rss/articles/CBMijAFBVV95cUxQREt1blJkbFdxZEZzNnI2bzEwZWxZcnkxaEVVcUlOSWhtREVUMllkRWJpWjYwdEFPUGdJRzdIRU5hWFRILVREY3E3cUFmN3g3ZTBUNWUwQW04Y1c1MnNNR1RpN1FTd0tENWI2S0s5aVExWVZtOF9zbThZci11UGwyd2I4NjBSM1VCbVc3bw?oc=5,0.522584382380147,Sun Pharma nagged by Halol plant recall - Fierce Pharma,"<a href=""https://news.google.com/rss/articles/CBMijAFBVV95cUxQREt1blJkbFdxZEZzNnI2bzEwZWxZcnkxaEVVcUlOSWhtREVUMllkRWJpWjYwdEFPUGdJRzdIRU5hWFRILVREY3E3cUFmN3g3ZTBUNWUwQW04Y1c1MnNNR1RpN1FTd0tENWI2S0s5aVExWVZtOF9zbThZci11UGwyd2I4NjBSM1VCbVc3bw?oc=5"" target=""_blank"">Sun Pharma nagged by Halol plant recall</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Fierce Pharma</font>",Google News Enhanced,"""Sun Pharma"" recall",
Sun Pharma,Unknown Drug,Unknown Drug,2017-03-14,Bad,0.0,0.0625,https://news.google.com/rss/articles/CBMiuAFBVV95cUxPbWpjVU82TE5UQnk1T2t2SmxSaDI5WEhWZnJveV95amNQd1FKd1VVamFmSElUdWxKUE5KbkFSUFZDQnFjV19sZVJGV3NPSnNPZHl4a09Zc3VTelU5RktkYVpraTRFRGJDUHppU0Fsa3RuRTAxTFoyMXQxNkwyTkI4WUxfaGdQVDRadEYydERUZC15bE9pY280Q1JZamlHbXhGNnpIODBDUm5aQU9yWWdPeDh0Ui1NWFd4?oc=5,0.495,Sun Pharma says US FDA to lift import alert on Mohali drug plant - Mint,"<a href=""https://news.google.com/rss/articles/CBMiuAFBVV95cUxPbWpjVU82TE5UQnk1T2t2SmxSaDI5WEhWZnJveV95amNQd1FKd1VVamFmSElUdWxKUE5KbkFSUFZDQnFjV19sZVJGV3NPSnNPZHl4a09Zc3VTelU5RktkYVpraTRFRGJDUHppU0Fsa3RuRTAxTFoyMXQxNkwyTkI4WUxfaGdQVDRadEYydERUZC15bE9pY280Q1JZamlHbXhGNnpIODBDUm5aQU9yWWdPeDh0Ui1NWFd4?oc=5"" target=""_blank"">Sun Pharma says US FDA to lift import alert on Mohali drug plant</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Mint</font>",Google News Enhanced,"""Sun Pharma"" FDA clearance",
Sun Pharma,Problems At Sun Pharma Plant Trip Up Drug,Problems At Sun Pharma Plant Trip Up Drug,2017-05-25,Good,0.0,0.0555555555555555,https://news.google.com/rss/articles/CBMimAFBVV95cUxNOGo4alpDaEpJOXJocDNWclhPZjdLY2xiQ0lLWGhqaHRKc2MxWjZSQUpabUV5VE9heWhaay1XelgyVmVIVkZIT3dabmc3cHJyWHlGYjd2VVMzel9wbHFyeVdNVTRGenA4NjZYN3lpVG9ldFhPT1RyV3g5UXh1emY5bGFWM1kzdzlPWVMtZnNXTVV0Q0Z1SVh6WQ?oc=5,0.6069236272037098,Problems at Sun Pharma plant trip up drug approval - BioPharma Dive,"<a href=""https://news.google.com/rss/articles/CBMimAFBVV95cUxNOGo4alpDaEpJOXJocDNWclhPZjdLY2xiQ0lLWGhqaHRKc2MxWjZSQUpabUV5VE9heWhaay1XelgyVmVIVkZIT3dabmc3cHJyWHlGYjd2VVMzel9wbHFyeVdNVTRGenA4NjZYN3lpVG9ldFhPT1RyV3g5UXh1emY5bGFWM1kzdzlPWVMtZnNXTVV0Q0Z1SVh6WQ?oc=5"" target=""_blank"">Problems at Sun Pharma plant trip up drug approval</a>&nbsp;&nbsp;<font color=""#6f6f6f"">BioPharma Dive</font>",Google News Enhanced,"""Sun Pharma"" FDA approval",
Sun Pharma,Unknown Drug,Unknown Drug,2017-10-11,Good,0.0,0.0555555555555555,https://news.google.com/rss/articles/CBMiqgFBVV95cUxQQktQV01LZ2VPa3JhWWM5MW9OUGUxUlF2cnZBdXUzaWpyUF9TZ3BVNGRWTVo3MFZfcEJHdzlNbEQ1cEYxVWM4RWJVOXlVRUVnN0JhUU1VUlB1Tmp6NjBXOXpDeDRSM0VYLTZBZ0FTanVSZGQ4emk1NndRbGhhcVpjRmZ2b1ZuQ0FwSlFfZGlMbmlqWWdRdkhoU29JWllaTTFzUTMtU25wS1h5QQ?oc=5,0.5504944007871084,Sun Pharma’s Dadra manufacturing unit gets US FDA clearance - Mint,"<a href=""https://news.google.com/rss/articles/CBMiqgFBVV95cUxQQktQV01LZ2VPa3JhWWM5MW9OUGUxUlF2cnZBdXUzaWpyUF9TZ3BVNGRWTVo3MFZfcEJHdzlNbEQ1cEYxVWM4RWJVOXlVRUVnN0JhUU1VUlB1Tmp6NjBXOXpDeDRSM0VYLTZBZ0FTanVSZGQ4emk1NndRbGhhcVpjRmZ2b1ZuQ0FwSlFfZGlMbmlqWWdRdkhoU29JWllaTTFzUTMtU25wS1h5QQ?oc=5"" target=""_blank"">Sun Pharma’s Dadra manufacturing unit gets US FDA clearance</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Mint</font>",Google News Enhanced,"""Sun Pharma"" FDA clearance",
Sun Pharma,Unknown Drug,Unknown Drug,2017-10-17,Good,0.0,0.0555555555555555,https://news.google.com/rss/articles/CBMitgFBVV95cUxOVG5oR3NhOFZYSlVXcjRjWFMtMHl1YzNabFRnTzFCVGlyRW9iakRJQ0x1QS1NNVVwYmplTW14M2lWUG5oTzUtU0NQdVRDajdhc2NhQTRvWndLWE8wcEduYjVpbnRPUWdpTnd5ZjZkRVV5Tkh2SWx5U1RnZXJZUDAwRHRGRXhfaFp0Qmt5QUQxV3lHblFnUHF6ak05ZU91OU5Xa1hZMXg3TFRwRWhZYUtHemhiRkQ5Zw?oc=5,0.549274734685196,India’s Sun Pharma says its Dadra manufacturing plant gets FDA clearance - Fierce Pharma,"<a href=""https://news.google.com/rss/articles/CBMitgFBVV95cUxOVG5oR3NhOFZYSlVXcjRjWFMtMHl1YzNabFRnTzFCVGlyRW9iakRJQ0x1QS1NNVVwYmplTW14M2lWUG5oTzUtU0NQdVRDajdhc2NhQTRvWndLWE8wcEduYjVpbnRPUWdpTnd5ZjZkRVV5Tkh2SWx5U1RnZXJZUDAwRHRGRXhfaFp0Qmt5QUQxV3lHblFnUHF6ak05ZU91OU5Xa1hZMXg3TFRwRWhZYUtHemhiRkQ5Zw?oc=5"" target=""_blank"">India’s Sun Pharma says its Dadra manufacturing plant gets FDA clearance</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Fierce Pharma</font>",Google News Enhanced,"""Sun Pharma"" FDA warning letter",
Sun Pharma,Unknown Drug,Unknown Drug,2018-02-21,Bad,0.1333333333333333,0.0625,https://news.google.com/rss/articles/CBMi7wFBVV95cUxPZjNQLWdaNVBTTlRQbGU1SVctUE5iREVPOXBmakphQlZ4cUxHbTVmcTBaUkk1SlE1Q0tCbVhqamdxdEl5a3AtM25NR1VmT2RTQ2NobVFyMXJEUUE2VFg5MkRWcko4NmR4aHZaNkwzTy1MY0xQZ3V4VXNiNGVXR1RkWFE0aG5JMER0S0F1WlliRjBBUktfVExLMWFKX1RKUVYtMkdwZl9hTmFRNC1vV3VuYy01VXB2RGpwT3FFdFJqMGFvS1lpeEphRmM5VU5aVTI3aDJQVS1KNVBld25DblMxaWpCTF9hU2xHVG9RVDIxUdIB9AFBVV95cUxQa0ROUk96cjNXeTVIZXFRMGczbEJET2FrSUV3UmhKUWY0dng0TDZ4anVqa0hDTDJlRW1jYjMtX2FJREpOazNjOEp2VXp1M3piTVVnbUdHSTY5QzZPSHpmOEVoSXVxUGh6a3FqWjNVZThZQ0NQZkYwQ2tTeDE4UWpma19PTVQ4cC1oakRScFpkck02VUNoWTFrOHRYTzVhNWNFaTJYbmE3SVJwYjMyVjNyNEY0NXRCNk5yWUZqWEZyelBqRl9pQTEwc2xrbnVyOVNjQkhyYllCM1A3SXozcWdHMThERWs0ZVNkRzhKRi1hSGFfMlQz?oc=5,0.535,Sun Pharma recalls over 17.5 K bottles of nasal spray from US - The Economic Times,"<a href=""https://news.google.com/rss/articles/CBMi7wFBVV95cUxPZjNQLWdaNVBTTlRQbGU1SVctUE5iREVPOXBmakphQlZ4cUxHbTVmcTBaUkk1SlE1Q0tCbVhqamdxdEl5a3AtM25NR1VmT2RTQ2NobVFyMXJEUUE2VFg5MkRWcko4NmR4aHZaNkwzTy1MY0xQZ3V4VXNiNGVXR1RkWFE0aG5JMER0S0F1WlliRjBBUktfVExLMWFKX1RKUVYtMkdwZl9hTmFRNC1vV3VuYy01VXB2RGpwT3FFdFJqMGFvS1lpeEphRmM5VU5aVTI3aDJQVS1KNVBld25DblMxaWpCTF9hU2xHVG9RVDIxUdIB9AFBVV95cUxQa0ROUk96cjNXeTVIZXFRMGczbEJET2FrSUV3UmhKUWY0dng0TDZ4anVqa0hDTDJlRW1jYjMtX2FJREpOazNjOEp2VXp1M3piTVVnbUdHSTY5QzZPSHpmOEVoSXVxUGh6a3FqWjNVZThZQ0NQZkYwQ2tTeDE4UWpma19PTVQ4cC1oakRScFpkck02VUNoWTFrOHRYTzVhNWNFaTJYbmE3SVJwYjMyVjNyNEY0NXRCNk5yWUZqWEZyelBqRl9pQTEwc2xrbnVyOVNjQkhyYllCM1A3SXozcWdHMThERWs0ZVNkRzhKRi1hSGFfMlQz?oc=5"" target=""_blank"">Sun Pharma recalls over 17.5 K bottles of nasal spray from US</a>&nbsp;&nbsp;<font color=""#6f6f6f"">The Economic Times</font>",Google News Enhanced,"""Sun Pharma"" recall",Selected over 1 overlapping events
Sun Pharma,Fda,Fda,2018-03-21,Good,0.0,0.0555555555555555,https://news.google.com/rss/articles/CBMiigJBVV95cUxPdmJPRzlMdExGZmJKQ1FES2NERFE2U1RDem5qaVdPdm9IdnhkbTF6bUk2b2tLeHJqdXh6Vkw3aUtiQWNFQ3NzX3p2RHdPM3NiV1M5NlBlem5tUkV1TUVfcGxpTFhvRHM0dVNxM0E1dXJFM3ZZdmdvWDcxZ0FvMkFsYmVSYmNQWGlHQnBmSEZjUWtsak9aYWlETFE4d1k0TXJXcEtxZ2ZDVi1SanBNSWRBQXltWFFKbzduTVJHNTFoV05DLVZVX29mSG5wZnpJYzhsZGtJVU9ncGhoZ2d0NU5WdGdra0RsckFKbzZveWZid0ttcUY3eTkxVERGaUgzY21tUmVRVUxHbnBIUQ?oc=5,0.5897531955778811,Sun Pharma Announces U.S. FDA Approval of ILUMYA™ (tildrakizumab-asmn) for the Treatment of Moderate-to-Severe Plaque Psoriasis - PR Newswire,"<a href=""https://news.google.com/rss/articles/CBMiigJBVV95cUxPdmJPRzlMdExGZmJKQ1FES2NERFE2U1RDem5qaVdPdm9IdnhkbTF6bUk2b2tLeHJqdXh6Vkw3aUtiQWNFQ3NzX3p2RHdPM3NiV1M5NlBlem5tUkV1TUVfcGxpTFhvRHM0dVNxM0E1dXJFM3ZZdmdvWDcxZ0FvMkFsYmVSYmNQWGlHQnBmSEZjUWtsak9aYWlETFE4d1k0TXJXcEtxZ2ZDVi1SanBNSWRBQXltWFFKbzduTVJHNTFoV05DLVZVX29mSG5wZnpJYzhsZGtJVU9ncGhoZ2d0NU5WdGdra0RsckFKbzZveWZid0ttcUY3eTkxVERGaUgzY21tUmVRVUxHbnBIUQ?oc=5"" target=""_blank"">Sun Pharma Announces U.S. FDA Approval of ILUMYA™ (tildrakizumab-asmn) for the Treatment of Moderate-to-Severe Plaque Psoriasis</a>&nbsp;&nbsp;<font color=""#6f6f6f"">PR Newswire</font>",Google News Enhanced,"""Sun Pharma"" FDA approval",
